Keyword,Search Volume,Keyword Difficulty,Position,Previous position,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
cheap sticker maker,390,57,27,27,2.03,https://www.psprint.com/design-templates/stickers-labels/,0,0,1,1,66100000,"[100,66,66,81,66,66,44,44,44,54,44,54]",2021-12-02,"Image pack, Site links, Reviews, AdWords top, Video Carousel, FAQ",commercial
usps eddm map,390,70,25,25,1.84,https://www.psprint.com/resources/what-is-eddm-every-door-direct-mail/,0,0,0,0.39,16100,"[66,54,66,66,54,66,100,81,66,44,54,81]",2021-12-06,"Image pack, Video, People also ask, FAQ","navigational, transactional"
notepad design,390,55,48,48,1.82,https://www.psprint.com/resources/notepad-design-essentials/,0,0,0,1,55600000,"[100,81,81,100,81,100,81,81,81,81,100,81]",2021-12-06,"Image pack, Site links, Reviews, Video Carousel, People also ask","informational, transactional"
create magnets,390,71,16,16,2.4,https://www.psprint.com/design-templates/magnets/,1,0,4,1,50100000,"[67,81,100,81,81,81,67,81,67,67,67,67]",2021-12-06,"Site links, Reviews, Video Carousel, People also ask, FAQ",transactional
recycled business cards,390,44,70,70,2.93,https://www.psprint.com/resources/going-green-with-die-cut-business-cards/,0,0,0,1,53200000,"[100,81,67,100,81,100,100,100,81,81,81,81]",2021-12-06,"Image pack, Reviews, Video Carousel, FAQ",commercial
logo stickers cheap,390,65,53,53,2.75,https://www.psprint.com/stickers-labels,0,0,0,1,57100000,"[100,100,67,81,81,81,67,67,67,54,67,67]",2021-12-04,"Image pack, Site links, Reviews, Video, Image, FAQ",commercial
labor day sell,390,70,64,64,0.89,https://www.psprint.com/resources/what-customers-buy-on-labor-day/,0,0,0,0.99,587000000,"[0,0,0,0,0,0,1,1,0,1,28,100]",2021-12-01,"Image pack, Site links, Reviews, AdWords bottom, People also ask, FAQ",commercial
kids birthday party invitation,390,58,77,77,1.19,https://www.psprint.com/resources/fun-birthday-invitation-wording-for-kids/,0,0,0,1,45600000,"[3,5,6,3,13,3,3,2,7,100,24,100]",2021-12-09,"Image pack, Site links, Reviews, Image, AdWords top, Shopping ads, People also ask, FAQ",commercial
wedding program wording,390,54,8,8,1.39,https://www.psprint.com/resources/wedding-program-content-guide/,11,0.01,16,1,5360000,"[66,44,29,36,44,66,81,100,100,81,81,66]",2021-12-06,"Image pack, Site links, Reviews, Shopping ads, People also ask",commercial
business card logo design,390,59,29,29,4.09,https://www.psprint.com/design-templates/business-cards/,0,0,2,1,1760000000,"[100,82,82,100,82,100,100,100,100,100,82,67]",2021-12-06,"Image pack, Reviews, AdWords top, Video Carousel, People also ask, FAQ",commercial
personalized bumper stickers,390,62,46,46,1.1,https://www.psprint.com/stickers/bumper-stickers,0,0,0,1,5950000,"[81,81,100,81,54,67,81,81,81,81,81,67]",2021-12-04,"Image pack, Site links, Reviews, Video, Image, Shopping ads, People also ask, FAQ",transactional
professional sticker making machine,390,51,62,62,1.08,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,12100000,"[29,24,44,54,54,67,54,54,44,44,67,100]",2021-12-02,"Image pack, Reviews, Video Carousel, People also ask","commercial, informational"
wine bottle stickers,390,52,50,50,1.22,https://www.psprint.com/stickers-labels/wine-bottle-labels,0,0,0,1,18400000,"[81,100,100,81,81,54,67,67,67,67,67,67]",2021-12-10,"Image pack, Reviews, Video, AdWords top, Shopping ads, People also ask",transactional
valentine birthday cards,390,33,63,63,0,https://www.psprint.com/design-templates/greeting-cards/~~~~~~valentines,0,0,0,0.47,56600000,"[1,1,2,45,100,1,0,0,0,0,0,0]",2021-12-10,"Image pack, Site links, Reviews, Video Carousel","informational, transactional"
tri fold brochure printing,390,58,16,16,6.56,https://www.psprint.com/feature/brochures/landing-letter-fold/landing-layout-folding-and-press/,1,0,12,1,5250000,"[67,81,67,81,54,67,81,81,81,100,100,100]",2021-12-10,"Site links, Reviews, Shopping ads, Video Carousel",transactional
printed gift tags,390,53,44,44,1.78,https://www.psprint.com/stickers-labels/gift-labels,0,0,0,1,34400000,"[32,48,100,26,21,26,32,32,26,26,32,39]",2021-12-10,"Image pack, Site links, Reviews, Image, Shopping ads",commercial
printer for vinyl stickers,390,27,86,86,1.15,https://www.psprint.com/stickers-labels/category,0,0,0,1,22900000,"[81,81,100,100,67,81,67,67,54,54,54,67]",2021-12-10,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask",commercial
business car stickers,390,60,69,69,1.16,https://www.psprint.com/resources/using-bumper-stickers-to-market-your-business/,0,0,0,1,148000000,"[67,54,67,67,67,81,81,81,81,81,81,100]",2021-12-10,"Image pack, Site links, Reviews, Shopping ads","informational, transactional"
invitation format,390,73,15,15,1.2,https://www.psprint.com/design-templates/invitation-cards/,1,0,2,1,898000000,"[81,67,54,54,54,81,81,100,100,81,81,81]",2021-12-10,"Image pack, Site links, Reviews, Video, People also ask","commercial, informational"
invitation format,390,73,16,16,1.2,https://www.psprint.com/resources/business-invitation-wording-examples/,1,0,2,1,898000000,"[81,67,54,54,54,81,81,100,100,81,81,81]",2021-12-10,"Image pack, Site links, Reviews, Video, People also ask","commercial, informational"
product stickers,390,63,30,30,3.69,https://www.psprint.com/design-templates/stickers-labels/,0,0,2,1,458000000,"[100,100,81,81,81,100,81,81,67,81,81,81]",2021-12-04,"Image pack, Reviews, Video, Image, People also ask, FAQ",transactional
mini business cards,390,39,17,17,2.81,https://www.psprint.com/business-cards,1,0,4,1,793000000,"[81,81,67,67,67,81,100,81,81,81,81,81]",2021-12-06,"Image pack, Reviews, Video, Shopping ads, People also ask, FAQ",transactional
best business card printing,390,73,25,25,6.49,https://www.psprint.com/business-cards/category,0,0,3,1,282000000,"[100,100,82,100,82,100,100,100,100,100,100,100]",2021-12-06,"Reviews, AdWords top, Shopping ads, Video Carousel, FAQ",commercial
business tags,390,42,79,79,1.79,https://www.psprint.com/resources/creative-design/hang-tags/,0,0,0,1,1420000000,"[100,81,67,100,100,81,67,81,67,67,67,67]",2021-12-06,"Image pack, Reviews, FAQ",transactional
create your own postcard,390,71,13,13,3.3,https://www.psprint.com/design-templates/postcards/,3,0,11,1,28000000,"[66,81,100,66,66,66,54,54,54,66,66,66]",2021-12-04,"Site links, Reviews, AdWords top, Shopping ads, Video Carousel, People also ask, FAQ",commercial
business letterhead sample,390,58,11,11,1.83,https://www.psprint.com/design-templates/letterhead/,18,0.02,33,1,32900000,"[66,100,66,81,66,100,81,66,54,54,54,54]",2021-12-06,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ","commercial, informational"
good business cards,390,63,63,63,5.08,https://www.psprint.com/design-templates/business-cards/,0,0,0,1,1970000000,"[81,67,54,67,81,100,81,67,81,67,81,100]",2021-12-06,"Image pack, Site links, Reviews, AdWords top, Video Carousel, FAQ","commercial, informational"
newsletter printing,390,34,6,6,4.69,https://www.psprint.com/newsletters,19,0.02,91,1,310000000,"[100,81,81,81,81,81,54,54,54,54,66,54]",2021-12-02,"Image pack, Reviews",transactional
get business cards,390,80,35,35,5.1,https://www.psprint.com/design-templates/business-cards/,0,0,1,1,6660000000,"[67,67,54,81,54,100,81,81,81,81,81,67]",2021-12-10,"Reviews, AdWords top, Shopping ads, FAQ",transactional
100 business cards,390,69,27,27,2.09,https://www.psprint.com/business-cards,0,0,1,1,1780000000,"[81,81,67,81,81,100,100,81,81,81,100,100]",2021-12-06,"Image pack, Reviews, Video, Shopping ads, People also ask, FAQ",commercial
water bottle label printing,390,50,31,31,2.22,https://www.psprint.com/labels/bottle-labels,0,0,0,1,15200000,"[44,24,24,44,36,54,81,81,100,81,81,81]",2021-12-01,"Site links, Reviews, Image, Video Carousel, People also ask",transactional
save the date printing,390,51,41,41,3.9,https://www.psprint.com/store/shop/save-the-date-cards/,0,0,0,1,251000000,"[100,81,81,100,81,81,67,67,67,67,81,81]",2021-12-04,"Image pack, Site links, Reviews, AdWords bottom, People also ask, FAQ",commercial
small booklet printing,390,61,59,59,3.28,https://www.psprint.com/booklets,0,0,0,1,28900000,"[100,100,100,100,81,81,81,81,81,67,81,81]",2021-12-04,"Site links, Reviews, Video Carousel, People also ask",transactional
long poster,390,60,85,85,0.88,https://www.psprint.com/posters/category,0,0,0,1,2460000000,"[66,81,66,66,66,66,66,54,54,66,81,100]",2021-12-07,"Image pack, Site links, Reviews, Image, Shopping ads, People also ask","commercial, informational"
wine stickers,390,51,94,94,1.09,https://www.psprint.com/stickers-labels/wine-bottle-labels,0,0,0,1,68000000,"[66,81,100,100,66,66,66,66,54,66,66,66]",2021-12-03,"Image pack, Site links, Reviews, Video, Image, Shopping ads","informational, transactional"
screen printing images,390,39,97,97,1.51,https://www.psprint.com/resources/screen-printing-guide/,0,0,0,1,443000000,"[100,81,67,100,81,81,81,81,67,81,81,100]",2021-12-07,"Image pack, Reviews, Video Carousel, People also ask","informational, transactional"
acrylic or oil paint,390,35,74,74,0,https://www.psprint.com/resources/guide-to-oil-paint-vs-acrylic/,0,0,0,0.76,102000000,"[66,66,100,81,66,66,54,54,54,44,54,44]",2021-12-07,"Reviews, Video Carousel, People also ask, FAQ","commercial, informational"
simple stickers,390,26,22,22,1.22,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,193000000,"[66,66,66,100,66,66,54,66,54,44,66,54]",2021-12-04,"Image pack, Reviews, Image, Video Carousel","commercial, informational"
personalized fridge magnets,390,63,71,71,1.52,https://www.psprint.com/design-templates/magnets/,0,0,0,1,2800000,"[36,81,100,54,44,81,100,66,44,44,66,44]",2021-12-13,"Site links, Reviews, Video, Image, Video Carousel",transactional
sticker making company,390,77,46,46,2.37,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,131000000,"[100,81,81,100,81,81,81,67,67,81,67,81]",2021-12-06,"Site links, Reviews, AdWords top, Shopping ads, Video Carousel, People also ask, FAQ",commercial
tax exempt certificate ny,390,61,87,87,2.5,https://www.psprint.com/sites/default/files/resources/NY_Resale_Certificate.pdf,0,0,0,0.09,4070000,"[81,67,67,81,67,81,100,67,81,67,67,67]",2021-12-10,"Reviews, Video, People also ask",transactional
usps postcard regulations,390,63,44,44,3.78,https://www.psprint.com/helpcenter/mail-files/resources/helpful/,0,0,0,0.1,138000,"[81,81,81,67,81,100,81,81,67,81,81,81]",2021-12-06,"Image pack, Video, People also ask","informational, transactional"
perfect bound book printing,390,37,79,79,5.95,https://www.psprint.com/layout-templates/perfect-bind-booklet-printing/,0,0,0,1,17800000,"[100,81,66,81,81,66,66,66,66,54,66,66]",2021-12-01,"Reviews, Video, Video Carousel, People also ask",transactional
custom magnets bulk,390,63,54,54,3.81,https://www.psprint.com/design-templates/magnets/,0,0,0,1,15300000,"[67,67,44,81,67,67,67,100,100,100,100,100]",2021-12-06,"Site links, Reviews, AdWords top, FAQ",commercial
best font for flyers,390,49,3,3,3.21,https://www.psprint.com/resources/fonts-that-get-your-brochures-and-flyers-noticed/,35,0.04,112,0.05,120000000,"[100,81,54,81,81,81,81,81,81,81,100,100]",2021-12-06,"Video, Featured snippet, People also ask","commercial, informational"
murder mystery invitations,390,24,17,17,1.27,https://www.psprint.com/resources/make-your-own-mystery-party-invitation-cards/,1,0,1,1,892000,"[100,36,54,54,44,44,36,36,36,36,54,100]",2021-12-07,"Reviews, Video, Shopping ads, People also ask, FAQ","informational, transactional"
order postcards,390,68,12,12,5.39,https://www.psprint.com/postcards,5,0,27,1,49500000,"[81,100,100,81,81,81,81,67,81,67,81,67]",2021-12-04,"Site links, Reviews, FAQ",transactional
order postcards,390,68,13,13,5.39,https://www.psprint.com/postcards/category,3,0,18,1,49500000,"[81,100,100,81,81,81,81,67,81,67,81,67]",2021-12-04,"Site links, Reviews, FAQ",transactional
business card printing services,390,76,23,23,5.06,https://www.psprint.com/business-cards/category,0,0,2,1,240000000,"[100,81,81,81,66,54,66,66,54,54,66,54]",2021-12-04,"Site links, Reviews, FAQ",commercial
create a business flyer,390,74,89,89,5.9,https://www.psprint.com/resources/brochure-flyer-marketing-budget/,0,0,0,1,135000000,"[66,81,66,100,66,54,54,66,66,66,54,66]",2021-12-10,"Reviews, Video Carousel, People also ask, FAQ",transactional
wedding invitation sites,390,55,68,68,3.22,https://www.psprint.com/resources/make-own-wedding-invitations/,0,0,0,1,38100000,"[11,9,9,16,13,16,16,16,16,37,63,100]",2021-12-08,"Site links, Reviews, AdWords bottom, Shopping ads, People also ask, FAQ",commercial
free template maker,390,78,20,20,1.58,https://www.psprint.com/design-templates/business-cards/,0,0,0,0.61,2450000000,"[81,67,81,100,81,81,100,81,81,100,81,100]",2021-12-07,"Site links, Reviews, AdWords top, People also ask",commercial
custom design business cards,390,77,15,15,3.2,https://www.psprint.com/design-templates/business-cards/,1,0,6,1,342000000,"[81,100,81,81,67,100,100,81,81,81,67,81]",2021-12-06,"Site links, Reviews, Image, FAQ",transactional
electronic holiday cards,390,63,31,31,1.54,https://www.psprint.com/design-templates/greeting-cards/~~~~~~holiday_and_seasons_greetings,0,0,0,1,121000000,"[5,16,100,2,1,1,1,0,1,0,1,1]",2021-12-06,"Site links, Reviews, AdWords bottom, Video Carousel, People also ask, FAQ",transactional
event invitation email,390,53,38,38,2,https://www.psprint.com/resources/business-invitation-wording-examples/,0,0,0,0.59,176000000,"[66,54,36,44,54,81,81,81,100,81,100,100]",2021-12-04,"Image pack, Site links, People also ask","commercial, informational"
layout design free,390,67,17,17,1.13,https://www.psprint.com/layout-templates/,1,0,1,0.41,689000000,"[81,81,81,100,100,100,100,81,81,81,81,67]",2021-12-07,"Image pack, Site links, Reviews, Video, AdWords top",commercial
professional fonts to use,390,72,37,37,1.07,https://www.psprint.com/resources/powerful-business-card-fonts/,0,0,0,0.03,136000000,"[100,100,81,81,81,100,100,81,81,81,81,81]",2021-12-09,"Reviews, Featured snippet","commercial, informational"
post card design,390,65,5,5,4.44,https://www.psprint.com/design-templates/postcards/,19,0.02,86,1,149000000,"[66,54,54,54,66,81,100,81,54,81,81,66]",2021-12-06,"Image pack, Site links, Reviews, Video, AdWords top, Video Carousel, FAQ",commercial
matte or glossy,390,45,48,48,0.72,https://www.psprint.com/resources/brochures-glossy-or-matte/,0,0,0,0.02,122000000,"[81,81,100,81,54,66,66,66,81,66,54,66]",2021-12-03,"Featured snippet, Video Carousel, People also ask, FAQ","commercial, informational"
celebration invitation,390,37,10,10,1.21,https://www.psprint.com/design-templates/invitation-cards/~~~~~~celebration,11,0.01,14,1,59000000,"[36,36,24,44,36,66,81,100,100,81,66,54]",2021-12-10,"Image pack, Reviews, Shopping ads, People also ask, FAQ","commercial, informational"
custom printed coasters,390,50,42,42,4.01,https://www.psprint.com/coasters.aspx,0,0,0,1,22900000,"[81,81,81,67,67,81,81,81,100,81,100,100]",2021-12-06,"Image pack, Reviews, AdWords top, AdWords bottom, Shopping ads, FAQ",transactional
business card cardstock,390,50,27,27,2.4,https://www.psprint.com/business-cards/colored-paper-cards,0,0,1,1,9420000,"[100,81,67,100,67,100,81,100,100,81,81,81]",2021-12-06,"Site links, Reviews, Image, Video Carousel, People also ask, FAQ","informational, transactional"
company letterhead template word,390,66,26,26,1.57,https://www.psprint.com/design-templates/letterhead/,0,0,0,1,5920000,"[54,54,54,81,81,100,81,67,81,81,100,81]",2021-12-13,"Image pack, Site links, Reviews, Video Carousel, People also ask","commercial, informational"
custom mothers day cards,390,43,61,61,0.77,https://www.psprint.com/store/shop/mothers-day-cards/,0,0,0,0.17,39900000,"[2,2,2,2,2,5,67,100,1,1,0,1]",2021-12-02,"Image pack, Reviews, Video Carousel, FAQ",commercial
best business card website,390,70,34,34,6.11,https://www.psprint.com/business-cards/category,0,0,1,1,4360000000,"[100,82,67,100,82,100,82,100,100,82,82,100]",2021-12-09,"Reviews, FAQ",commercial
business holiday cards 2020,390,60,58,58,0,https://www.psprint.com/greeting-cards/flat-holiday-cards,0,0,0,1,3690000000,"[46,100,84,1,1,1,0,0,0,1,1,1]",2021-12-06,"Image pack, Site links, Reviews, AdWords top, People also ask, FAQ",commercial
vintage hawaiian postcards,390,24,48,48,0.81,https://blog.psprint.com/featured-post/frame-worthy-vintage-postcards/,0,0,0,1,84,"[81,67,67,81,67,100,100,100,100,100,100,81]",2021-12-04,"Image pack, Reviews, Video","informational, transactional"
us envelope format,390,63,14,14,0,https://www.psprint.com/layout-templates/envelopes-printing/,2,0,0,1,101000000,"[67,67,100,81,81,100,100,100,81,67,67,67]",2021-12-09,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask","commercial, informational"
rectangle stickers,390,42,25,25,3.7,https://www.psprint.com/design-templates/stickers-labels/~~horizontal_rectangle,0,0,2,1,55500000,"[100,82,82,100,82,100,100,100,82,100,82,100]",2021-12-06,"Image pack, Reviews, Video",transactional
create party invitations,390,78,19,19,0.94,https://www.psprint.com/resources/make-party-invitations-easy/,1,0,1,1,53800000,"[66,44,44,54,36,66,66,100,81,81,66,81]",2021-12-10,"Site links, Reviews, AdWords top, Shopping ads, Video Carousel, People also ask, FAQ",commercial
thank you postcards business,390,56,16,16,2.9,https://www.psprint.com/design-templates/invitation-cards/~~~~~~thank_you,1,0,5,1,23600000,"[81,81,81,100,81,100,81,54,54,54,54,54]",2021-12-06,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask",commercial
wedding bulletin,390,42,41,41,0.98,https://www.psprint.com/resources/perfect-wedding-program-printing-guide/,0,0,0,1,21300000,"[54,36,44,36,44,66,81,100,100,100,81,66]",2021-12-07,"Image pack, Video, Shopping ads, Video Carousel, FAQ","commercial, informational"
contemporary logo,390,18,8,8,3,https://www.psprint.com/resources/five-contemporary-logo-design-tips-0/,11,0.01,35,1,990000000,"[81,81,67,100,81,100,81,81,54,54,67,81]",2021-12-06,"Image pack, People also ask, FAQ","commercial, informational"
vinyl banner sizes,320,37,29,29,2.59,https://www.psprint.com/resources/what-size-vinyl-banner/,0,0,1,1,37700000,"[67,54,44,44,54,82,100,100,100,100,100,100]",2021-12-13,"Image pack, Site links, Reviews, Video, People also ask, FAQ","informational, transactional"
print your own postcards,320,67,27,27,3.04,https://www.psprint.com/design-templates/postcards/pc-1730/,0,0,1,1,29900000,"[67,100,100,67,54,54,54,54,54,67,67,67]",2021-12-06,"Image pack, Site links, Reviews, AdWords top, Video Carousel, FAQ",commercial
food magnets,320,19,27,27,0.43,https://www.psprint.com/design-templates/magnets/~~~~restaurants_and_food,0,0,0,1,77300000,"[67,82,100,100,82,100,82,82,82,100,82,100]",2021-12-10,"Image pack, Reviews, Video, Image, Video Carousel","informational, transactional"
happy thanksgiving cards free,320,50,82,82,0,https://www.psprint.com/design-templates/greeting-cards/~~~~~~thanksgiving,0,0,0,0.31,76400000,"[2,100,1,0,0,0,0,0,1,0,0,0]",2021-12-11,"Image pack, Site links, Reviews, FAQ","informational, transactional"
custom made cards,320,69,48,48,1.77,https://www.psprint.com/greeting-cards,0,0,0,1,1870000000,"[82,100,100,100,82,67,67,67,67,67,67,67]",2021-12-06,"Site links, Reviews, Shopping ads, FAQ",commercial
product label stickers,320,59,37,37,3.89,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,107000000,"[100,100,100,100,100,82,82,100,67,54,67,67]",2021-12-06,"Image pack, Reviews, Video",transactional
acrylic oil paint,320,39,79,79,0.92,https://www.psprint.com/resources/guide-to-oil-paint-vs-acrylic/,0,0,0,1,70900000,"[67,81,100,81,81,67,67,67,67,67,54,54]",2021-12-07,"Image pack, Reviews, Video, Video Carousel, People also ask, FAQ","commercial, informational"
letter design maker,320,55,24,24,1.08,https://www.psprint.com/design-templates/letterhead/,0,0,0,0.41,208000000,"[54,54,82,67,67,100,67,100,67,67,82,100]",2021-12-08,"Image pack, Site links, Reviews, Video, AdWords top, FAQ",commercial
marketing mailers,320,69,88,88,13.55,https://www.psprint.com/resources/direct-mail-marketing-tips/,0,0,0,0.78,6240000,"[82,100,82,100,82,82,82,82,82,82,67,82]",2021-12-06,"Image pack, Site links, Reviews, People also ask, FAQ",commercial
sample graduation invitation,320,59,27,27,0,https://www.psprint.com/resources/make-your-own-graduation-invitation-cards/,0,0,0,1,22800000,"[4,5,5,3,4,25,68,100,37,13,5,5]",2021-12-12,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ","commercial, informational"
4x6 poster,320,28,68,0,1.54,https://www.psprint.com/design-templates/postcards/~4x6,0,0,0,1,19100000,"[81,100,81,100,100,100,100,66,81,100,81,100]",2021-12-13,"Image pack, Reviews, Video","commercial, informational"
spiritual stickers,320,17,46,46,0.26,https://www.psprint.com/design-templates/stickers-labels/~~~~spiritual,0,0,0,1,26200000,"[44,44,67,100,67,82,82,67,82,82,100,100]",2021-12-02,"Image pack, Reviews, Video","informational, transactional"
product sell sheet,320,46,16,16,3.39,https://www.psprint.com/resources/include-in-sales-sheets/,1,0,5,0.24,908000000,"[81,67,81,100,81,81,67,54,67,54,54,54]",2021-12-06,"Image pack, Reviews, Video, People also ask","commercial, informational"
happy holidays greeting card,320,60,77,77,1.85,https://www.psprint.com/design-templates/greeting-cards/~~~~~~holiday_and_seasons_greetings,0,0,0,1,85000000,"[11,30,100,3,1,2,1,1,2,1,2,3]",2021-12-10,"Image pack, Reviews, Shopping ads, People also ask, FAQ","informational, transactional"
senior invitations,320,71,56,56,1.88,https://www.psprint.com/resources/make-your-own-graduation-invitation-cards/,0,0,0,1,4040000000,"[13,13,8,16,20,45,100,55,16,7,8,11]",2021-12-06,"Image pack, Site links, Reviews, People also ask, FAQ",commercial
wedding magnets,320,60,70,70,2.47,https://www.psprint.com/design-templates/magnets/,0,0,0,1,16100000,"[54,44,44,67,54,67,67,81,67,100,67,67]",2021-12-12,"Image pack, Site links, Reviews, Image, AdWords top, Video Carousel",commercial
standard coaster size,320,37,12,12,2.18,https://www.psprint.com/layout-templates/beverage-coasters-printing/,4,0,9,1,13300000,"[67,81,100,81,67,67,54,54,54,67,67,67]",2021-12-10,"Image pack, Reviews, Featured snippet, Shopping ads, People also ask","commercial, informational"
promotional stickers,320,51,96,96,4.61,https://www.psprint.com/stickers-labels,0,0,0,1,30900000,"[100,82,67,82,82,100,100,100,82,100,82,67]",2021-12-06,"Reviews, Video, Image, Shopping ads, FAQ","informational, transactional"
blank valentines day cards,320,41,63,63,0,https://www.psprint.com/design-templates/greeting-cards/~~~~~~valentines,0,0,0,0.91,11300000,"[0,1,1,25,100,2,1,1,0,0,1,1]",2021-12-07,"Image pack, Site links, Reviews, Image","informational, transactional"
sticker printing services,320,71,25,25,3.22,https://www.psprint.com/stickers-labels/category,0,0,1,1,24300000,"[100,100,67,67,82,82,67,67,67,82,82,82]",2021-12-10,"Site links, Reviews, Shopping ads, FAQ",commercial
postcard printer paper,320,42,10,10,1.25,https://www.psprint.com/postcards/colored-paper-cards,9,0.01,12,1,4980000,"[11,100,46,6,9,9,9,7,6,7,9,7]",2021-12-06,"Reviews, Image, Video Carousel, People also ask, FAQ","informational, transactional"
bulk postcard mailing,320,60,9,9,8.67,https://www.psprint.com/resources/bulk-direct-mail-postcards/,9,0.01,83,0.99,18300000,"[100,82,82,82,82,100,82,67,82,82,82,100]",2021-12-09,"Image pack, Reviews, AdWords top, People also ask",commercial
happy holiday greetings card,320,60,18,18,1.85,https://www.psprint.com/design-templates/greeting-cards/~~~~~~holiday_and_seasons_greetings,0,0,1,1,170000000,"[11,30,100,3,1,2,1,1,2,1,2,3]",2021-12-01,"Image pack, Site links, Reviews, Shopping ads, People also ask, FAQ",commercial
single custom stickers,320,68,38,38,2.25,https://www.psprint.com/stickers-labels,0,0,0,1,30500000,"[67,67,100,67,67,67,67,67,67,67,67,67]",2021-12-10,"Reviews, AdWords top, Shopping ads, FAQ",transactional
create yard signs,320,71,78,78,3.21,https://www.psprint.com/resources/yard-sign-design-ideas/,0,0,0,1,57400000,"[100,67,35,54,44,67,67,81,81,54,67,54]",2021-12-10,"Site links, Reviews, Image, AdWords top, AdWords bottom, Shopping ads, Video Carousel, People also ask, FAQ",transactional
print hanger,320,27,85,85,0.77,https://www.psprint.com/door-hangers,0,0,0,1,51600000,"[54,54,100,100,81,67,54,67,54,67,67,67]",2021-12-07,"Image pack, Site links, Reviews, Video, Image, Shopping ads",transactional
custom business folders,320,54,98,98,4.8,https://www.psprint.com/pocket-folders,0,0,0,1,99600000,"[100,82,67,100,100,100,82,82,82,82,100,82]",2021-12-10,"Site links, Reviews, Image, Video Carousel","informational, transactional"
create thank you cards,320,68,16,16,2.43,https://www.psprint.com/design-templates/greeting-cards/~~~~~~thank_you,1,0,3,1,745000000,"[100,82,82,100,82,82,82,82,82,82,82,82]",2021-12-10,"Site links, Reviews, Video, AdWords top, Shopping ads, Video Carousel, People also ask, FAQ",commercial
custom event tickets,320,60,22,22,3.17,https://www.psprint.com/event-tickets,0,0,1,1,135000000,"[54,29,29,35,44,67,81,67,81,100,100,100]",2021-12-08,"Image pack, Site links, Reviews, Shopping ads",commercial
graduation card maker,320,61,33,33,1.71,https://www.psprint.com/design-templates/invitation-cards/~~~~~~graduation,0,0,0,1,34800000,"[14,14,17,17,14,32,72,100,59,17,7,5]",2021-12-04,"Image pack, Site links, Reviews, Video, AdWords top, Video Carousel",commercial
wedding day cards,320,58,74,0,0.88,https://www.psprint.com/design-templates/greeting-cards/~~~~~~wedding,0,0,0,1,804000000,"[81,44,35,29,44,54,67,81,81,67,81,100]",2021-12-13,"Image pack, Site links, Reviews, Video, Image","informational, transactional"
create your own decal,320,63,85,85,0.96,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,32700000,"[82,82,82,82,82,100,100,82,82,82,67,67]",2021-12-07,"Site links, Reviews, Video Carousel, People also ask",transactional
cool postcards,320,18,31,31,1.3,https://blog.psprint.com/printing/47376/,0,0,0,1,20400000,"[100,82,82,82,82,82,82,54,54,67,67,82]",2021-12-07,"Image pack, Site links, Reviews, Video, Shopping ads",transactional
postcard back design,320,39,2,2,5,https://www.psprint.com/layout-templates/postcards-printing/,41,0.05,208,1,68300000,"[67,81,100,54,67,81,67,67,54,44,54,44]",2021-12-06,"Image pack, Site links, Reviews, Video Carousel, People also ask",commercial
holiday quotes for cards,320,69,61,61,2.54,https://www.psprint.com/design-templates/greeting-cards/~~~~~~holiday_and_seasons_greetings,0,0,0,1,3200000000,"[7,34,100,1,0,0,0,0,0,0,0,2]",2021-12-06,"Image pack, Site links, Reviews, Shopping ads, People also ask, FAQ","commercial, informational"
a sticker,320,69,69,69,1.51,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,4520000000,"[100,67,67,82,82,100,82,82,54,67,82,67]",2021-12-06,"Image pack, Reviews, Video Carousel","informational, transactional"
business envelope design,320,42,4,4,4.3,https://www.psprint.com/design-templates/envelopes/,22,0.02,96,1,145000000,"[100,81,54,54,67,67,67,54,44,44,44,67]",2021-12-10,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask","informational, transactional"
custom made business cards,320,76,57,57,2.72,https://www.psprint.com/business-cards/category,0,0,0,1,299000000,"[82,100,100,82,82,100,82,100,82,82,100,100]",2021-12-10,"Image pack, Site links, Reviews, Image, Shopping ads, FAQ",transactional
not getting invited quotes,320,13,95,95,0,https://www.psprint.com/resources/business-invitation-wording-examples/,0,0,0,0.1,118000000,"[54,54,44,44,54,67,67,81,81,100,81,81]",2021-12-09,"Image pack, Reviews, People also ask",transactional
sticker page,320,55,21,21,1.95,https://www.psprint.com/layout-templates/sheet-stickers-printing/,0,0,0,1,445000000,"[100,82,82,100,82,82,67,67,54,67,82,82]",2021-12-06,"Image pack, Reviews, Image, Video Carousel, People also ask, FAQ","commercial, informational"
